species;latitude;longitude
Pinus koraiensis;43.221496;132.0040858
Pinus koraiensis;43.21396;132.00777
Pinus koraiensis;43.75332586;131.6303662
Pinus koraiensis;43.1033122;131.490252
Pinus koraiensis;43.1033122;131.490252
Pinus koraiensis;44.411276;132.8911675
Pinus koraiensis;44.2638889;133.7525
Pinus koraiensis;43.79660398;132.9313969
Pinus koraiensis;50.28505;134.7076
Pinus koraiensis;48.26091607;135.2000682
Pinus koraiensis;50.49444171;137.0775604
Pinus koraiensis;49.23933961;131.603164
Pinus koraiensis;49.25166663;131.5875428
Pinus koraiensis;48.594696;130.6053919
Pinus koraiensis;48.594696;130.6053919
Pinus koraiensis;47.981556;139.541809
Pinus koraiensis;47.981556;139.541809
Pinus koraiensis;48.594696;130.6053919
Pinus koraiensis;47.981556;139.541809
Pinus koraiensis;44.03798977;133.8920134
Pinus koraiensis;44.5573954;135.6227188
Pinus koraiensis;42.9064506;133.7008772
Pinus koraiensis;43.22948269;132.0879228
Pinus koraiensis;43.57191346;132.503418
Pinus koraiensis;45.6829449;136.218079
Pinus koraiensis;43.6503097;132.5024216
Pinus koraiensis;43.169883;132.793943
Pinus koraiensis;43.17795771;132.7891794
Pinus koraiensis;46.562889;134.664673
Pinus koraiensis;44.17255233;133.9035617
Pinus koraiensis;45.0432559;136.6092251
Pinus koraiensis;45.0432559;136.6092251
Pinus koraiensis;43.17410827;132.7899948
Pinus koraiensis;43.7623963;132.950623
Pinus koraiensis;42.8638889;133.8069444
Pinus koraiensis;43.17667459;132.7893511
Pinus koraiensis;38.6566951;128.104958
Pinus koraiensis;39.03918597;125.764112
Pinus koraiensis;41.387384;128.1744945
Pinus koraiensis;41.387384;128.1744945
Pinus koraiensis;41.387384;128.1744945
Pinus koraiensis;38.6566951;128.104958
Pinus koraiensis;43.55583718;132.5250809
Pinus koraiensis;43.0418972;133.7694745
Pinus koraiensis;43.0418972;133.7694745
Pinus koraiensis;43.0418972;133.7694745
Pinus koraiensis;43.0418972;133.7694745
Pinus koraiensis;43.0418972;133.7694745
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.36567115;133.9426491
Pinus koraiensis;43.36567115;133.9426491
