species;lat;lon
Abies sachalinensis;39.558333;141.488611
Abies sachalinensis;43.383333;142.35
Abies sachalinensis;41.813056;140.305833
Abies sachalinensis;44.44;142.05
Abies sachalinensis;42.05;143.02
Abies sachalinensis;42.95385;141.23405
Abies sachalinensis;42.9667;141.15735
Abies sachalinensis;43.11276;144.12312
Abies sachalinensis;42.51386;140.3792
Abies sachalinensis;44.09669;145.07755
Abies sachalinensis;36.6;137.333333
Abies sachalinensis;42.7;143.1
Abies sachalinensis;36.14605;137.25186
Abies sachalinensis;36.13334;137.99472
Abies sachalinensis;36.14605;137.25186
Abies sachalinensis;40.27889;140.26149
Abies sachalinensis;39.79977;140.22009
Abies sachalinensis;39.79977;140.22009
Abies sachalinensis;40.22612;140.37067
Abies sachalinensis;43.4856;144.4592
Abies sachalinensis;39.79977;140.22009
Abies sachalinensis;42.9868;144.42474
Abies sachalinensis;45.09755;141.78621
Abies sachalinensis;43.17336;145.51198
Abies sachalinensis;42.63411;141.60536
Abies sachalinensis;42.31548;140.97348
Abies sachalinensis;42.31548;140.97348
Abies sachalinensis;45.18;141.25
Abies sachalinensis;45.18;141.25
Abies sachalinensis;43.177;140.939
Abies sachalinensis;43.14;140.933
Abies sachalinensis;43.123;141.035
Abies sachalinensis;43.234;140.991
Abies sachalinensis;43.189;140.9156
Abies sachalinensis;43.38571;142.55232
Abies sachalinensis;54.141523;159.942827
Abies sachalinensis;54.141523;159.942827
Abies sachalinensis;54.148763;159.952011
Abies sachalinensis;43.919558;145.533553
Abies sachalinensis;46.633333;142.783333
Abies sachalinensis;54.130209;159.982824
Abies sachalinensis;54.141523;159.942827
Abies sachalinensis;54.141523;159.942827
Abies sachalinensis;43.384241;142.558505
Abies sachalinensis;43.384241;142.558505
Abies sachalinensis;43.53;142.08
Abies sachalinensis;43.77;142.5
Abies sachalinensis;44.2;142.13
Abies sachalinensis;43.77;142.5
Abies sachalinensis;50;143
Abies sachalinensis;54.12;159.98
Abies sachalinensis;50;143
Abies sachalinensis;43.182019;142.360008
Abies sachalinensis;44.733299;142.08299
Abies sachalinensis;54.183333;159.983333
Abies sachalinensis;46.583333;142.066667
Abies sachalinensis;45.016667;141.916667
Abies sachalinensis;54.183333;159.983333
Abies sachalinensis;45.016667;141.916667
Abies sachalinensis;44.833333;141.833333
Abies sachalinensis;43.5;141.666667
Abies sachalinensis;43.43817;142.45477
Abies sachalinensis;43.03198;141.29395
Abies sachalinensis;43.326;145.588
Abies sachalinensis;42.96318;140.51103
Abies sachalinensis;43.32704;145.58539
Abies sachalinensis;35.646756;139.272852
Abies sachalinensis;48.9;141.966667
Abies sachalinensis;43.333333;142.616667
Abies sachalinensis;44.36222;142.27861
