longitude;latitude;species
141.1339717;52.67224888;Picea jezoensis
139.9838421;53.99477538;Picea jezoensis
133.1026122;49.29266326;Picea jezoensis
133.7484261;49.63749993;Picea jezoensis
134.2300881;50.11627172;Picea jezoensis
132.8269269;49.5898268;Picea jezoensis
132.5547458;49.29293345;Picea jezoensis
136.9469872;50.87370523;Picea jezoensis
135.9822542;53.08348753;Picea jezoensis
135.535014;52.61652428;Picea jezoensis
137.9830695;53.0425398;Picea jezoensis
140.6535425;51.93682768;Picea jezoensis
135.4152381;45.18615936;Picea jezoensis
134.9840056;49.10007474;Picea jezoensis
134.9294906;49.85179036;Picea jezoensis
136.3981626;47.71220041;Picea jezoensis
137.1838726;48.90030002;Picea jezoensis
137.7807867;49.27959756;Picea jezoensis
136.9271754;49.47333034;Picea jezoensis
137.781892;50.07505476;Picea jezoensis
135.3891911;46.35796825;Picea jezoensis
136.4029714;45.82282101;Picea jezoensis
136.9597368;46.79924793;Picea jezoensis
137.2129105;46.76726997;Picea jezoensis
138.4236001;49.85599832;Picea jezoensis
135.1657712;51.11477008;Picea jezoensis
129.3151998;47.05057121;Picea jezoensis
130.1037798;47.26999279;Picea jezoensis
136.1364815;46.46412588;Picea jezoensis
136.5372418;50.85094486;Picea jezoensis
132.084737;53.62947474;Picea jezoensis
131.7282364;53.97183793;Picea jezoensis
132.5177595;52.17853443;Picea jezoensis
128.1865773;54.02188953;Picea jezoensis
130.7571331;53.8810916;Picea jezoensis
129.1245123;53.24105913;Picea jezoensis
131.4639172;52.92917198;Picea jezoensis
138.8083385;53.6306509;Picea jezoensis
136.8942748;53.2820428;Picea jezoensis
136.643309;51.85748511;Picea jezoensis
133.6923078;51.78104671;Picea jezoensis
132.6398683;51.72663762;Picea jezoensis
134.9368994;53.58358862;Picea jezoensis
134.0434132;53.21158085;Picea jezoensis
132.531589;50.43773919;Picea jezoensis
131.4086361;49.96346779;Picea jezoensis
131.450576;50.06717713;Picea jezoensis
130.8151699;50.52673225;Picea jezoensis
130.9622599;49.50225368;Picea jezoensis
130.2958158;48.03002106;Picea jezoensis
128.8949207;47.17307449;Picea jezoensis
129.4084972;48.48886601;Picea jezoensis
131.2112004;48.65341429;Picea jezoensis
128.6834343;53.83749641;Picea jezoensis
130.3164184;49.90347415;Picea jezoensis
131.5538013;51.6813967;Picea jezoensis
