species;latitude;longitude;source;no
larix;64.484732;129.217428;my;901
larix;64.013698;128.168783;my;902
larix;65.441627;127.108508;my;903
larix;65.964658;126.76546;my;904
larix;66.944863;127.55238;my;905
larix;50.847306;113.386167;galanin;906
larix;51.589611;112.8975;galanin;907
larix;50.844944;113.371806;galanin;908
larix;49.702067;111.000667;galanin;909
larix;50.835972;111.287528;galanin;910
larix;52.454883;119.558817;galanin;911
larix;52.725883;119.887933;galanin;912
larix;49.804141;111.421134;galanin;913
larix;52.16385;119.332917;galanin;914
larix;49.872806;109.233889;galanin;915
larix;50.803778;113.040472;galanin;916
larix;49.617983;111.013517;galanin;917
larix;49.703889;110.993972;galanin;918
larix;49.799361;111.413528;galanin;919
larix;50.800167;113.027528;galanin;920
larix;49.356389;108.839722;galanin;921
larix;50.800083;113.024694;galanin;922
larix;49.333139;112.593556;galanin;923
larix;49.401806;111.681389;galanin;924
larix;49.328278;111.245167;galanin;925
larix;53.489469;123.197657;vegetation_map;926
larix;51.45546;122.666012;vegetation_map;927
larix;53.383083;122.878147;vegetation_map;928
larix;52.697266;125.635244;vegetation_map;929
larix;53.414809;122.868958;vegetation_map;930
larix;53.275812;122.351423;vegetation_map;931
larix;53.273591;121.981095;vegetation_map;932
larix;53.238108;122.795628;vegetation_map;933
larix;52.656953;121.338337;vegetation_map;934
larix;53.193886;122.339774;vegetation_map;935
larix;53.140274;122.820442;vegetation_map;936
larix;53.231218;121.907179;vegetation_map;937
larix;52.910167;124.480302;vegetation_map;938
larix;53.203336;121.84094;vegetation_map;939
larix;53.039637;122.904715;vegetation_map;940
larix;53.101669;121.988435;vegetation_map;941
larix;52.605379;125.665962;vegetation_map;942
larix;53.034676;122.677906;vegetation_map;943
larix;53.015819;122.241221;vegetation_map;944
larix;52.542314;126.062663;vegetation_map;945
larix;52.490087;126.056445;vegetation_map;946
larix;52.411289;126.275846;vegetation_map;947
larix;52.963709;122.022044;vegetation_map;948
larix;52.424335;126.010886;vegetation_map;949
larix;52.894562;122.148835;vegetation_map;950
larix;52.946224;121.929199;vegetation_map;951
larix;52.502499;124.967491;vegetation_map;952
larix;52.359509;126.25498;vegetation_map;953
larix;52.690359;123.268549;vegetation_map;954
larix;52.839184;122.007286;vegetation_map;955
larix;52.334888;126.226483;vegetation_map;956
larix;52.799388;122.456468;vegetation_map;957
larix;52.237077;126.264344;vegetation_map;958
larix;52.202184;125.271729;vegetation_map;959
larix;52.293997;126.096461;vegetation_map;960
larix;52.605868;123.336662;vegetation_map;961
larix;52.711986;121.837581;vegetation_map;962
larix;52.747317;121.508969;vegetation_map;963
larix;52.128753;126.259832;vegetation_map;964
larix;52.565418;122.314191;vegetation_map;965
larix;52.527474;122.212101;vegetation_map;966
larix;52.589169;121.801102;vegetation_map;967
larix;52.015901;126.25106;vegetation_map;968
larix;52.018266;126.011168;vegetation_map;969
larix;52.563008;122.01701;vegetation_map;970
larix;51.977106;126.406576;vegetation_map;971
larix;52.613249;121.271165;vegetation_map;972
larix;51.841875;124.972879;vegetation_map;973
larix;51.833344;125.789317;vegetation_map;974
larix;52.464214;122.063914;vegetation_map;975
larix;52.494842;121.731966;vegetation_map;976
larix;51.870143;126.289488;vegetation_map;977
larix;52.461772;121.561605;vegetation_map;978
larix;52.06717;124.633018;vegetation_map;979
larix;51.949547;125.434097;vegetation_map;980
larix;51.799051;126.406197;vegetation_map;981
larix;52.381319;121.765515;vegetation_map;982
larix;51.788774;126.139119;vegetation_map;983
larix;51.851303;125.50152;vegetation_map;984
larix;51.844335;125.62746;vegetation_map;985
larix;51.983879;124.534882;vegetation_map;986
larix;51.963157;124.604772;vegetation_map;987
larix;51.646333;126.673301;vegetation_map;988
larix;51.827996;125.301223;vegetation_map;989
larix;51.696802;125.502082;vegetation_map;990
larix;51.706794;126.158986;vegetation_map;991
larix;51.677192;126.054646;vegetation_map;992
larix;51.519202;126.586987;vegetation_map;993
larix;51.64781;126.2922;vegetation_map;994
larix;51.660229;125.899729;vegetation_map;995
larix;51.572131;126.108802;vegetation_map;996
larix;51.46963;126.749381;vegetation_map;997
larix;51.56273;126.009887;vegetation_map;998
larix;51.237056;124.948131;vegetation_map;999
larix;51.683953;125.078557;vegetation_map;1000
larix;51.838821;124.134363;vegetation_map;1001
larix;51.789205;124.262335;vegetation_map;1002
larix;51.490091;126.395473;vegetation_map;1003
larix;51.7195;124.715043;vegetation_map;1004
larix;51.501099;126.21681;vegetation_map;1005
larix;51.307801;126.244578;vegetation_map;1006
larix;51.395603;126.444384;vegetation_map;1007
larix;51.381669;125.947386;vegetation_map;1008
larix;51.459775;125.679844;vegetation_map;1009
larix;51.6848;123.464547;vegetation_map;1010
larix;51.302294;126.447201;vegetation_map;1011
larix;51.455072;124.555917;vegetation_map;1012
larix;51.15391;126.326233;vegetation_map;1013
larix;51.25562;125.567729;vegetation_map;1014
larix;51.273255;125.309657;vegetation_map;1015
larix;51.122809;126.417739;vegetation_map;1016
larix;51.721722;120.329157;vegetation_map;1017
larix;51.186615;125.5604;vegetation_map;1018
larix;51.1265;125.936637;vegetation_map;1019
larix;50.945478;126.759893;vegetation_map;1020
larix;51.716295;120.417334;vegetation_map;1021
larix;50.887398;127.02102;vegetation_map;1022
larix;50.825868;126.591866;vegetation_map;1023
larix;51.59086;120.224637;vegetation_map;1024
larix;50.828091;125.094325;vegetation_map;1025
larix;51.392666;120.202012;vegetation_map;1026
larix;51.447656;120.245299;vegetation_map;1027
larix;50.58628;126.897694;vegetation_map;1028
larix;50.700183;125.907436;vegetation_map;1029
larix;50.657818;126.259076;vegetation_map;1030
larix;50.581589;126.694242;vegetation_map;1031
larix;50.70648;125.703278;vegetation_map;1032
larix;50.741591;125.385339;vegetation_map;1033
larix;50.611687;126.288204;vegetation_map;1034
larix;50.720505;125.558912;vegetation_map;1035
larix;50.548867;126.470088;vegetation_map;1036
larix;50.557933;126.320392;vegetation_map;1037
larix;50.614185;125.747763;vegetation_map;1038
larix;50.47759;126.13126;vegetation_map;1039
larix;50.35751;125.833063;vegetation_map;1040
larix;50.383636;126.15675;vegetation_map;1041
larix;50.421392;125.943636;vegetation_map;1042
larix;50.317139;126.379722;vegetation_map;1043
larix;50.975476;119.868037;vegetation_map;1044
larix;50.095676;127.36165;vegetation_map;1045
larix;49.980946;127.264966;vegetation_map;1046
larix;50.317805;125.606484;vegetation_map;1047
larix;50.201782;125.6794;vegetation_map;1048
larix;50.280713;123.512252;vegetation_map;1049
larix;50.02135;126.176247;vegetation_map;1050
larix;50.003018;125.325752;vegetation_map;1051
larix;49.861358;126.7194;vegetation_map;1052
larix;49.866147;126.632002;vegetation_map;1053
larix;49.833429;126.281507;vegetation_map;1054
larix;49.885327;125.467865;vegetation_map;1055
larix;49.857147;125.557253;vegetation_map;1056
larix;49.826922;125.300463;vegetation_map;1057
larix;49.618023;125.93091;vegetation_map;1058
larix;49.693469;125.768873;vegetation_map;1059
larix;49.516258;126.91291;vegetation_map;1060
larix;49.616334;125.588941;vegetation_map;1061
larix;49.305639;127.218718;vegetation_map;1062
larix;49.438352;126.528332;vegetation_map;1063
larix;48.961713;129.263246;vegetation_map;1064
larix;48.946177;129.399843;vegetation_map;1065
larix;48.909942;129.509739;vegetation_map;1066
larix;49.447094;125.84509;vegetation_map;1067
larix;49.404733;125.916021;vegetation_map;1068
larix;48.789964;129.629443;vegetation_map;1069
larix;48.932892;128.686844;vegetation_map;1070
larix;48.909331;128.405787;vegetation_map;1071
larix;49.216838;126.467389;vegetation_map;1072
larix;48.649792;129.266625;vegetation_map;1073
larix;49.245733;126.096212;vegetation_map;1074
larix;48.992483;127.507695;vegetation_map;1075
larix;48.759933;128.751461;vegetation_map;1076
larix;49.066271;126.349106;vegetation_map;1077
larix;48.83513;128.138952;vegetation_map;1078
larix;48.858535;127.950228;vegetation_map;1079
larix;48.675769;128.482757;vegetation_map;1080
larix;48.857439;127.546257;vegetation_map;1081
larix;48.800776;127.773684;vegetation_map;1082
larix;49.265657;123.244337;vegetation_map;1083
larix;48.809587;127.641743;vegetation_map;1084
larix;48.685925;128.248012;vegetation_map;1085
larix;48.415017;129.689699;vegetation_map;1086
larix;48.480716;128.808637;vegetation_map;1087
larix;48.584242;128.156771;vegetation_map;1088
larix;48.312214;129.326884;vegetation_map;1089
larix;48.373424;128.313972;vegetation_map;1090
larix;48.410843;128.416118;vegetation_map;1091
larix;48.340313;128.474369;vegetation_map;1092
larix;48.755098;124.926618;vegetation_map;1093
larix;47.98413;129.624659;vegetation_map;1094
larix;48.263344;127.777593;vegetation_map;1095
larix;48.130827;127.968328;vegetation_map;1096
larix;47.983918;128.870633;vegetation_map;1097
larix;48.097696;128.006065;vegetation_map;1098
larix;47.768649;130.06418;vegetation_map;1099
larix;47.041479;133.648176;vegetation_map;1100
larix;47.652067;129.53062;vegetation_map;1101
larix;47.856988;120.927203;vegetation_map;1102
larix;47.422042;130.123775;vegetation_map;1103
larix;47.407096;130.244727;vegetation_map;1104
larix;46.69308;133.706125;vegetation_map;1105
larix;47.64484;121.342894;vegetation_map;1106
larix;47.839642;126.623257;vegetation_map;1107
larix;47.241836;129.647151;vegetation_map;1108
larix;47.173194;129.67428;vegetation_map;1109
larix;48.244997;121.447294;vegetation_map;1110
larix;47.185955;129.083736;vegetation_map;1111
larix;47.096811;129.286475;vegetation_map;1112
larix;47.057224;129.222597;vegetation_map;1113
larix;48.137374;121.576835;vegetation_map;1114
larix;48.11151;121.427005;vegetation_map;1115
larix;46.886517;129.397393;vegetation_map;1116
larix;48.140711;120.1948;vegetation_map;1117
larix;47.069295;127.969609;vegetation_map;1118
larix;46.813963;129.452889;vegetation_map;1119
larix;47.691664;123.299351;vegetation_map;1120
